rd_zh,rd_en
苗圃路,MIAOPU RD.
苗專一路,MIAOZHUAN 1ST RD.
苗專二路,MIAOZHUAN 2ND RD.
苗專三路,MIAOZHUAN 3RD RD.
苗環一路,MIAOHUAN 1ST RD.
苗豐,MIAOFENG
英一街,YING 1ST ST.
英二街,YING 2ND ST.
英三街,YING 3RD ST.
英四街,YING 4TH ST.
英五街,YING 5TH ST.
英六街,YING 6TH ST.
英七街,YING 7TH ST.
英八街,YING 8TH ST.
英士一街,YINGSHI 1ST ST.
英士二街,YINGSHI 2ND ST.
英士三街,YINGSHI 3RD ST.
英士路,YINGSHI RD.
英山街,YINGSHAN ST.
英才路,YINGCAI RD.
英坑,YINGKENG
英明一路,YINGMING 1ST RD.
英明街,YINGMING ST.
英明路,YINGMING RD.
英專路,YINGZHUAN RD.
英祥街,YINGXIANG ST.
英雄崗,YINGXIONGGANG
英雄路,YINGXIONG RD.
英義街,YINGYI ST.
英義路,YINGYI RD.
英德街,YINGDE ST.
英德橫巷,YINGDE SIDE LN.
苑平街,YUANPING ST.
苑坑,YUANKENG
苑港,YUANGANG
苓子林,LINGZILIN
苓子林二街,LINGZILIN 2ND ST.
苓子林三街,LINGZILIN 3RD ST.
苓中巷,LINGZHONG LN.
苓中路,LINGZHONG RD.
苓安路,LING'AN RD.
苓和,LINGHE
苓東路,LINGDONG RD.
苓保,LINGBAO
苓南路,LINGNAN RD.
苓洲巷,LINGZHOU LN.
苓雅一路,LINGYA 1ST RD.
苓雅二路,LINGYA 2ND RD.
苓雅市場,LINGYA MARKET
苓德路,LINGDE RD.
貞寮路,ZHENLIAO RD.
貞觀巷,ZHENGUAN LN.
負郭路,FUGUO RD.
軍仁街,JUNREN ST.
軍功東街,JUNGONG E. ST.
軍功路,JUNGONG RD.
軍功路一段,"SEC. 1, JUNGONG RD."
軍功路二段,"SEC. 2, JUNGONG RD."
軍民路,JUNMIN RD.
軍民路司法二村,"SIFA 2ND VIL., JUNMIN RD."
軍和巷,JUNHE LN.
軍和街,JUNHE ST.
軍南一街,JUNNAN 1ST ST.
軍南二街,JUNNAN 2ND ST.
軍校路,JUNXIAO RD.
軍港路,JUNGANG RD.
軍榮一街,JUNRONG 1ST ST.
軍榮二街,JUNRONG 2ND ST.
軍榮三街,JUNRONG 3RD ST.
軍榮五街,JUNRONG 5TH ST.
軍榮六街,JUNRONG 6TH ST.
軍榮街,JUNRONG ST.
軍福七路,JUNFU 7TH RD.
軍福八路,JUNFU 8TH RD.
軍福九路,JUNFU 9TH RD.
軍福十路,JUNFU 10TH RD.
軍福十一路,JUNFU 11TH RD.
軍福十二路,JUNFU 12TH RD.
軍福十三路,JUNFU 13TH RD.
軍福十五路,JUNFU 15TH RD.
軍福十六路,JUNFU 16TH RD.
軍福十七路,JUNFU 17TH RD.
軍福十八路,JUNFU 18TH RD.
軍福十九路,JUNFU 19TH RD.
軍輝路,JUNHUI RD.
迦納納二路,JIANANA 2ND RD.
迦納納四路,JIANANA 4TH RD.
迦納納六路,JIANANA 6TH RD.
迪化一街,DIHUA 1ST ST.
迪化二街,DIHUA 2ND ST.
迪化街,DIHUA ST.
迪化街一段,"SEC. 1, DIHUA ST."
迪化街二段,"SEC. 2, DIHUA ST."
迪化路,DIHUA RD.
重三路,CHONG 3RD RD.
重上街,CHONGSHANG ST.
重仁路,CHONGREN RD.
重化街,CHONGHUA ST.
重文街,CHONGWEN ST.
重平路,CHONGPING RD.
重生路,CHONGSHENG RD.
重立路,CHONGLI RD.
重光,CHONGGUANG
重光北路,CHONGGUANG N. RD.
重光東路,CHONGGUANG E. RD.
重光南路,CHONGGUANG S. RD.
重光巷,CHONGGUANG LN.
重光街,CHONGGUANG ST.
重光路,CHONGGUANG RD.
重吉路,CHONGJI RD.
重如街,CHONGRU ST.
重安街,CHONG'AN ST.
重安路,CHONG'AN RD.
重孝路,CHONGXIAO RD.
重和路,CHONGHE RD.
重忠路,CHONGZHONG RD.
重明路,CHONGMING RD.
重河,CHONGHE
重治路,CHONGZHI RD.
重信路,CHONGXIN RD.
重建街,CHONGJIAN ST.
重建路,CHONGJIAN RD.
重政路,CHONGZHENG RD.
重美街,CHONGMEI ST.
重偉街,CHONGWEI ST.
重清路,CHONGQING RD.
重惠街,CHONGHUI ST.
重景街,CHONGJING ST.
重陽一街,CHONGYANG 1ST ST.
重陽二街,CHONGYANG 2ND ST.
重陽街,CHONGYANG ST.
重陽路,CHONGYANG RD.
重陽路一段,"SEC. 1, CHONGYANG RD."
重陽路二段,"SEC. 2, CHONGYANG RD."
重陽路三段,"SEC. 3, CHONGYANG RD."
重陽路四段,"SEC. 4, CHONGYANG RD."
重陽路五段,"SEC. 5, CHONGYANG RD."
重愛路,CHONG'AI RD.
重新巷,CHONGXIN LN.
重新路一段,"SEC. 1, CHONGXIN RD."
重新路二段,"SEC. 2, CHONGXIN RD."
重新路三段,"SEC. 3, CHONGXIN RD."
重新路四段,"SEC. 4, CHONGXIN RD."
重新路五段,"SEC. 5, CHONGXIN RD."
重義一路,CHONGYI 1ST RD.
重義二路,CHONGYI 2ND RD.
重義三路,CHONGYI 3RD RD.
重義巷,CHONGYI LN.
重義街,CHONGYI ST.
重義路,CHONGYI RD.
重劃西路,CHONGHUA W. RD.
重劃東路,CHONGHUA E. RD.
重德新村,CHONGDE NEW VIL.
重慶一街,CHONGQING 1ST ST.
重慶二街,CHONGQING 2ND ST.
重慶三街,CHONGQING 3RD ST.
重慶六街,CHONGQING 6TH ST.
重慶北路一段,"SEC. 1, CHONGQING N. RD."
重慶北路二段,"SEC. 2, CHONGQING N. RD."
重慶北路三段,"SEC. 3, CHONGQING N. RD."
重慶北路四段,"SEC. 4, CHONGQING N. RD."
重慶南路一段,"SEC. 1, CHONGQING S. RD."
重慶南路二段,"SEC. 2, CHONGQING S. RD."
重慶南路三段,"SEC. 3, CHONGQING S. RD."
重慶街,CHONGQING ST.
重慶街南門商場,"NANMEN MARKET, CHONGQING ST."
重慶路,CHONGQING RD.
重興,CHONGXING
重興街,CHONGXING ST.
面前巷,MIANQIAN LN.
面前厝,MIANQIANCUO
面盆寮,MIANPENLIAO
風吹嶺,FENGCHUILING
風坑路,FENGKENG RD.
風尾坑,FENGWEIKENG
風尾街,FENGWEI ST.
風沙路,FENGSHA RD.
風空,FENGKONG
風空街,FENGKONG ST.
風埔路,FENGPU RD.
風格街,FENGGE ST.
風景,FENGJING
風鈴路,FENGLING RD.
風櫃斗湖,FENGGUIDOUHU
風櫃尾,FENGGUIWEI
飛鳳,FEIFENG
飛機路,FEIJI RD.
食水坑,SHISHUIKENG
食水巷,SHISHUI LN.
食水嵙,SHISHUIKE
食水路,SHISHUI RD.
食坑巷,SHIKENG LN.
食品路,SHIPIN RD.
香山一路,XIANGSHAN 1ST RD.
香山二路,XIANGSHAN 2ND RD.
香山三路,XIANGSHAN 3RD RD.
香山四路,XIANGSHAN 4TH RD.
香山五路,XIANGSHAN 5TH RD.
香山西路,XIANGSHAN W. RD.
香山東路,XIANGSHAN E. RD.
香山厝,XIANGSHANCUO
香山路,XIANGSHAN RD.
香中路,XIANGZHONG RD.
香內路,XIANGNEI RD.
香北一路,XIANGBEI 1ST RD.
香北路,XIANGBEI RD.
香田里竹圍巷,"ZHUWEI LN., XIANGTIAN VIL."
香村路,XIANGCUN RD.
香和路,XIANGHE RD.
香坡一路,XIANGPO 1ST RD.
香坡二路,XIANGPO 2ND RD.
香坡二路一段,"SEC. 1, XIANGPO 2ND RD."
香坡三路,XIANGPO 3RD RD.
香坡五路,XIANGPO 5TH RD.
香坡路,XIANGPO RD.
香林,XIANGLIN
香社一路,XIANGSHE 1ST RD.
香社二路,XIANGSHE 2ND RD.
香社路,XIANGSHE RD.
香南路,XIANGNAN RD.
香城路,XIANGCHENG RD.
香洋路,XIANGYANG RD.
香員林,XIANGYUANLIN
香格,XIANGGE
香茶巷,XIANGCHA LN.
香果園,XIANGGUOYUAN
香揚巷,XIANGYANG LN.
香揚巷南段,"XIANGYANG LN., S. SEC."
香圓窩,XIANGYUANWO
香楊路,XIANGYANG RD.
香源街,XIANGYUAN ST.
香源路,XIANGYUAN RD.
香腳巷,XIANGJIAO LN.
香賓街,XIANGBIN ST.
香賓街得月巷,"DEYUE LN., XIANGBIN ST."
香潭一街,XIANGTAN 1ST ST.
香潭二街,XIANGTAN 2ND ST.
香潭路,XIANGTAN RD.
香蕉山,XIANGJIAOSHAN
香蕉巷,XIANGJIAO LN.
香檳一街,XIANGBIN 1ST ST.
香檳二街,XIANGBIN 2ND ST.
香檳三街,XIANGBIN 3RD ST.
香檳五街,XIANGBIN 5TH ST.
香檳東街,XIANGBIN E. ST.
香檳南街,XIANGBIN S. ST.
香蘭街,XIANGLAN ST.
膽曼,DANMAN
哆囉嘕,DUOLUOXIAN
洒店,SADIAN
恒中新村,HENGZHONG NEW VIL.
恒公路,HENGGONG RD.
恒北路,HENGBEI RD.
恒吉一路,HENGJI 1ST RD.
恒吉巷,HENGJI LN.
恒西路,HENGXI RD.
恒東路,HENGDONG RD.
恒南路,HENGNAN RD.
恒城街,HENGCHENG ST.
恒福一街,HENGFU 1ST ST.
恒福二街,HENGFU 2ND ST.
恒豐街,HENGFENG ST.
羌子坑,QIANGZIKENG
羌仔科,QIANGZAIKE
羌仔寮,QIANGZAILIAO
羌母寮,QIANGMULIAO
羌光路,QIANGGUANG RD.
羌園巷,QIANGYUAN LN.
倒別牛,DAOBIENIU
倒茄苳,DAOJIADONG
倒厝子,DAOCUOZI
倒照湖,DAOZHAOHU
倡和街,CHANGHE ST.
倡和路,CHANGHE RD.
修仁路,XIUREN RD.
修心路,XIUXIN RD.
修文一街,XIUWEN 1ST ST.
修文街,XIUWEN ST.
修文路,XIUWEN RD.
修正巷,XIUZHENG LN.
修安街,XIU'AN ST.
修成南街,XIUCHENG S. ST.
修成街,XIUCHENG ST.
修明街,XIUMING ST.
修武街,XIUWU ST.
修齊街,XIUQI ST.
修德巷,XIUDE LN.
修德街,XIUDE ST.
倫理街,LUNLI ST.
倫等街,LUNDENG ST.
倫華街,LUNHUA ST.
倉北巷,CANGBEI LN.
倉前路,CANGQIAN RD.
倉後巷,CANGHOU LN.
倉後街,CANGHOU ST.
凍子腳,DONGZIJIAO
凍頂巷,DONGDING LN.
凍腳,DONGJIAO
凌雲二村,LINGYUN 2ND VIL.
凌雲街,LINGYUN ST.
凌雲路,LINGYUN RD.
凌雲路一段,"SEC. 1, LINGYUN RD."
凌雲路二段,"SEC. 2, LINGYUN RD."
凌雲路三段,"SEC. 3, LINGYUN RD."
凌雲路三段田埔巷,"TIANPU LN., SEC. 3, LINGYUN RD."
原子巷,YUANZI LN.
原子街,YUANZI ST.
原斗里中正巷,"ZHONGZHENG LN., YUANDOU VIL."
原斗里斗苑路,"DOUYUAN RD., YUANDOU VIL."
原斗里竹圍巷,"ZHUWEI LN., YUANDOU VIL."
原吉仔,YUANJIZAI
原名路,YUANMING RD.
原竹路,YUANZHU RD.
原厝路,YUANCUO RD.
原勝路,YUANSHENG RD.
原新街,YUANXIN ST.
原德路,YUANDE RD.
原興路,YUANXING RD.
厝子,CUOZI
厝後巷,CUOHOU LN.
厝後路,CUOHOU RD.
厝勝路,CUOSHENG RD.
厝興路,CUOXING RD.
哨船街,SHAOCHUAN ST.
唐山街,TANGSHAN ST.
唐華路,TANGHUA RD.
哩咾路,LILAO RD.
員大路,YUANDA RD.
員大路一段,"SEC. 1, YUANDA RD."
員大路二段,"SEC. 2, YUANDA RD."
員山,YUANSHAN
員山子,YUANSHANZI
員山子路,YUANSHANZI RD.
員山子路員山巷,"YUANSHAN LN., YUANSHANZI RD."
員山路,YUANSHAN RD.
員山路一段,"SEC. 1, YUANSHAN RD."
員山路二段,"SEC. 2, YUANSHAN RD."
員山路三段,"SEC. 3, YUANSHAN RD."
員水路一段,"SEC. 1, YUANSHUI RD."
員水路二段,"SEC. 2, YUANSHUI RD."
員本路,YUANBEN RD.
員安路,YUAN'AN RD.
員貝,YUANBEI
員東路,YUANDONG RD.
員東路一段,"SEC. 1, YUANDONG RD."
員東路一段浮圳南巷,"FUZUN S. LN., SEC. 1, YUANDONG RD."
員東路二段,"SEC. 2, YUANDONG RD."
員東路二段仁愛巷,"REN'AI LN., SEC. 2, YUANDONG RD."
員林大道一段,"SEC. 1, YUANLIN BLVD."
員林大道二段,"SEC. 2, YUANLIN BLVD."
員林大道三段,"SEC. 3, YUANLIN BLVD."
員林大道四段,"SEC. 4, YUANLIN BLVD."
員林大道五段,"SEC. 5, YUANLIN BLVD."
員林大道六段,"SEC. 6, YUANLIN BLVD."
員林大道七段,"SEC. 7, YUANLIN BLVD."
員林坑,YUANLINKENG
員林坑路,YUANLINKENG RD.
員林街,YUANLIN ST.
員林路一段,"SEC. 1, YUANLIN RD."
員林路二段,"SEC. 2, YUANLIN RD."
員林路三段,"SEC. 3, YUANLIN RD."
員南路,YUANNAN RD.
員埔路,YUANPU RD.
員草路,YUANCAO RD.
員草路一段,"SEC. 1, YUANCAO RD."
員草路二段,"SEC. 2, YUANCAO RD."
員笨,YUANBEN
員鹿路,YUANLU RD.
員鹿路一段,"SEC. 1, YUANLU RD."
員鹿路二段,"SEC. 2, YUANLU RD."
員鹿路三段,"SEC. 3, YUANLU RD."
員鹿路四段,"SEC. 4, YUANLU RD."
員鹿路四段角樹巷,"JIAOSHU LN., SEC. 4, YUANLU RD."
員鹿路四段鳳厝巷,"FENGCUO LN., SEC. 4, YUANLU RD."
員鹿路五段,"SEC. 5, YUANLU RD."
員鹿路西寮巷,"XILIAO LN., YUANLU RD."
員鹿路後溪巷,"HOUXI LN., YUANLU RD."
員鹿路湖東巷,"HUDONG LN., YUANLU RD."
員崠子,YUANDONGZI
員集路,YUANJI RD.
員集路一段,"SEC. 1, YUANJI RD."
員集路二段,"SEC. 2, YUANJI RD."
員集路三段,"SEC. 3, YUANJI RD."
員集路四段,"SEC. 4, YUANJI RD."
員集路五段,"SEC. 5, YUANJI RD."
員農街,YUANNONG ST.
員福街,YUANFU ST.
員德路,YUANDE RD.
員潭,YUANTAN
員潭子坑,YUANTANZIKENG
員樹林,YUANSHULIN
埔子,PUZI
埔子頂,PUZIDING
埔工路,PUGONG RD.
埔中一街,PUZHONG 1ST ST.
埔中二街,PUZHONG 2ND ST.
埔中三街,PUZHONG 3RD ST.
埔中巷,PUZHONG LN.
埔中路,PUZHONG RD.
埔仁街,PUREN ST.
埔仁路,PUREN RD.
埔內,PUNEI
埔內街,PUNEI ST.
埔心,PUXIN
埔心仔,PUXINZAI
埔心里廟後,"MIAOHOU, PUXIN VIL."
埔心街,PUXIN ST.
埔心路,PUXIN RD.
埔仔厝,PUZAICUO
埔仔頂,PUZAIDING
埔北街,PUBEI ST.
埔市街,PUSHI ST.
埔打路,PUDA RD.
埔安街,PU'AN ST.
埔江街,PUJIANG ST.
埔西街,PUXI ST.
埔孝街,PUXIAO ST.
埔尾,PUWEI
埔尾巷,PUWEI LN.
埔尾路,PUWEI RD.
埔和一路,PUHE 1ST RD.
埔和二路,PUHE 2ND RD.
埔和三路,PUHE 3RD RD.
埔和五路,PUHE 5TH RD.
埔和路,PUHE RD.
埔忠街,PUZHONG ST.
埔東街,PUDONG ST.
埔前路,PUQIAN RD.
埔南巷,PUNAN LN.
埔南街,PUNAN ST.
埔姜街,PUJIANG ST.
埔後,PUHOU
埔羌坑,PUQIANGKENG
埔頂,PUDING
埔頂一街,PUDING 1ST ST.
埔頂一路,PUDING 1ST RD.
埔頂二街,PUDING 2ND ST.
埔頂二路,PUDING 2ND RD.
埔頂三街,PUDING 3RD ST.
埔頂三路,PUDING 3RD RD.
埔頂五街,PUDING 5TH ST.
埔頂六街,PUDING 6TH ST.
埔頂七街,PUDING 7TH ST.
埔頂八街,PUDING 8TH ST.
埔頂里中心路,"ZHONGXIN RD., PUDING VIL."
埔頂街,PUDING ST.
埔頂路,PUDING RD.
埔頂路一段,"SEC. 1, PUDING RD."
埔頂路二段,"SEC. 2, PUDING RD."
埔鹿街,PULU ST.
埔智街,PUZHI ST.
埔港路,PUGANG RD.
埔菜路,PUCAI RD.
埔陽街,PUYANG ST.
埔園街,PUYUAN ST.
埔愛街,PU'AI ST.
埔新二街,PUXIN 2ND ST.
埔新三街,PUXIN 3RD ST.
埔新街,PUXIN ST.
埔新路,PUXIN RD.
埔聖街,PUSHENG ST.
埔腳巷,PUJIAO LN.
埔墘,PUQIAN
埔墘路,PUQIAN RD.
埔興路,PUXING RD.
埔頭,PUTOU
埔頭坑,PUTOUKENG
埔頭街,PUTOU ST.
埔頭路,PUTOU RD.
埔邊,PUBIAN
夏元路,XIAYUAN RD.
夏田路,XIATIAN RD.
夏林路,XIALIN RD.
夏梅林,XIAMEILIN
夏墅,XIASHU
夏綠地街,XIALUDI ST.
夏興,XIAXING
娜娘路,NANIANG RD.
孫厝寮,SUNCUOLIAO
家和一街,JIAHE 1ST ST.
家和二街,JIAHE 2ND ST.
家和三街,JIAHE 3RD ST.
家和五街,JIAHE 5TH ST.
家和六街,JIAHE 6TH ST.
家和七街,JIAHE 7TH ST.
家和八街,JIAHE 8TH ST.
家齊路,JIAQI RD.
家興新村,JIAXING NEW VIL.
宮口巷,GONGKOU LN.
宮口街,GONGKOU ST.
宮中街,GONGZHONG ST.
宮仁街,GONGREN ST.
宮平街,GONGPING ST.
宮田街,GONGTIAN ST.
宮后里,GONGHOU VIL.
宮安街,GONG'AN ST.
宮西路,GONGXI RD.
宮和街,GONGHE ST.
宮前,GONGQIAN
宮前街,GONGQIAN ST.
宮前路,GONGQIAN RD.
宮南巷,GONGNAN LN.
宮後,GONGHOU
宮後一巷,GONGHOU 1ST LN.
宮後二巷,GONGHOU 2ND LN.
宮後巷,GONGHOU LN.
宮後街,GONGHOU ST.
宮邊巷,GONGBIAN LN.
射免潭,SHEMIANTAN
射寮路,SHELIAO RD.
展宇美村,ZHANYUMEI VIL.
展望巷,ZHANWANG LN.
展望路二段,"SEC. 2, ZHANWANG RD."
展業一路,ZHANYE 1ST RD.
展業二路,ZHANYE 2ND RD.
展業路,ZHANYE RD.
展興路,ZHANXING RD.
展寶路,ZHANBAO RD.
展寶路永生巷,"YONGSHENG LN., ZHANBAO RD."
展寶路永存巷,"YONGCUN LN., ZHANBAO RD."
峨眉,EMEI
峨眉一街,EMEI 1ST ST.
峨眉二街,EMEI 2ND ST.
峨眉三街,EMEI 3RD ST.
峨眉四街,EMEI 4TH ST.
峨眉村河背,"HEBEI, EMEI VIL."
峨眉街,EMEI ST.
峰上,FENGSHANG
峰山路,FENGSHAN RD.
峰北,FENGBEI
峰北路,FENGBEI RD.
峰生巷,FENGSHENG LN.
峰西巷,FENGXI LN.
峰西路,FENGXI RD.
峰廷街,FENGTING ST.
峰谷路,FENGGU RD.
峰東路,FENGDONG RD.
峰南,FENGNAN
峰南路,FENGNAN RD.
峰城一路,FENGCHENG 1ST RD.
峰城二路,FENGCHENG 2ND RD.
峰城路,FENGCHENG RD.
峰堤路,FENGTI RD.
峰園路,FENGYUAN RD.
峰德路,FENGDE RD.
峰頭,FENGTOU
崁下,KANXIA
崁子腳,KANZIJIAO
崁子頭,KANZITOU
崁仔腳,KANZAIJIAO
崁前,KANQIAN
崁後,KANHOU
崁津部落,SAWUAZHI TRIBE
崁頂,KANDING
崁頂一路,KANDING 1ST RD.
崁頂二路,KANDING 2ND RD.
崁頂三路,KANDING 3RD RD.
崁頂五路,KANDING 5TH RD.
崁頂巷,KANDING LN.
崁頂街,KANDING ST.
崁頂路,KANDING RD.
崁腳,KANJIAO
崁腳巷,KANJIAO LN.
崁頭,KANTOU
崁頭子,KANTOUZI
崁頭厝,KANTOUCUO
崁頭路,KANTOU RD.
師大路,SHIDA RD.
師校巷,SHIXIAO LN.
師範街,SHIFAN ST.
庫志,KUZHI
庫房北路,KUFANG N. RD.
庫房南路,KUFANG S. RD.
庫倫街,KULUN ST.
徒門頭街,TUMENTOU ST.
徐州一街,XUZHOU 1ST ST.
徐州二街,XUZHOU 2ND ST.
徐州三街,XUZHOU 3RD ST.
徐州四街,XUZHOU 4TH ST.
徐州五街,XUZHOU 5TH ST.
徐州六街,XUZHOU 6TH ST.
徐州七街,XUZHOU 7TH ST.
徐州街,XUZHOU ST.
徐州路,XUZHOU RD.
恭敬,GONGJING
恭敬路,GONGJING RD.
恭寬路,GONGKUAN RD.
恩德街,ENDE ST.
悅華路,YUEHUA RD.
振中街,ZHENZHONG ST.
振文路,ZHENWEN RD.
振平街,ZHENPING ST.
振安路,ZHEN'AN RD.
振坤街,ZHENKUN ST.
振昌街,ZHENCHANG ST.
振昇路,ZHENSHENG RD.
振武路,ZHENWU RD.
振南路,ZHENNAN RD.
振英街,ZHENYING ST.
振泰街,ZHENTAI ST.
振祥街,ZHENXIANG ST.
振華街,ZHENHUA ST.
振華路,ZHENHUA RD.
振農巷,ZHENNONG LN.
振福路,ZHENFU RD.
振德街,ZHENDE ST.
振興,ZHENXING
振興一巷,ZHENXING 1ST LN.
振興一街,ZHENXING 1ST ST.
振興一路,ZHENXING 1ST RD.
振興二路,ZHENXING 2ND RD.
振興三路,ZHENXING 3RD RD.
振興五路,ZHENXING 5TH RD.
振興六路,ZHENXING 6TH RD.
振興西街,ZHENXING W. ST.
振興西路,ZHENXING W. RD.
振興里農場巷,"NONGCHANG LN., ZHENXING VIL."
振興東街,ZHENXING E. ST.
振興南路,ZHENXING S. RD.
振興巷,ZHENXING LN.
振興街,ZHENXING ST.
振興路,ZHENXING RD.
振豐村榮華巷,"RONGHUA LN., ZHENFENG VIL."
料角坑,LIAOJIAOKENG
料羅,LIAOLUO
料羅港,LIAOLUO PORT
料羅新村,LIAOLUO NEW VIL.
旅順街,LUSHUN ST.
旅順路一段,"SEC. 1, LUSHUN RD."
旅順路二段,"SEC. 2, LUSHUN RD."
時代大道,SHIDAI BLVD.
時代南一路,SHIDAI S. 1ST RD.
時代南二路,SHIDAI S. 2ND RD.
時代南三路,SHIDAI S. 3RD RD.
晉元街,JINYUAN ST.
晉元路,JINYUAN RD.
晉文路,JINWEN RD.
晉北路,JINBEI RD.
晉江街,JINJIANG ST.
晉江路,JINJIANG RD.
晉昌街,JINCHANG ST.
晉武路,JINWU RD.
朕米糕,ZHENMIGAO
朗島,LANGDAO
校舍一路,XIAOSHE 1ST RD.
校舍二路,XIAOSHE 2ND RD.
校舍路,XIAOSHE RD.
校前一街,XIAOQIAN 1ST ST.
校前巷,XIAOQIAN LN.
校前街,XIAOQIAN ST.
校前路,XIAOQIAN RD.
校背路,XIAOBEI RD.
校椅一路,XIAOYI 1ST RD.
校椅二路,XIAOYI 2ND RD.
校椅三路,XIAOYI 3RD RD.
桂山路,GUISHAN RD.
桂仁街,GUIREN ST.
桂文街,GUIWEN ST.
桂平街,GUIPING ST.
桂田街,GUITIAN ST.
桂安街,GUI'AN ST.
桂州街,GUIZHOU ST.
桂江街,GUIJIANG ST.
桂竹林,GUIZHULIN
桂竹圍,GUIZHUWEI
桂竹街,GUIZHU ST.
桂和街,GUIHE ST.
桂忠街,GUIZHONG ST.
桂明街,GUIMING ST.
桂東路,GUIDONG RD.
桂林,GUILIN
桂林二巷,GUILIN 2ND LN.
桂林三巷,GUILIN 3RD LN.
桂林四巷,GUILIN 4TH LN.
桂林北路,GUILIN N. RD.
桂林南路,GUILIN S. RD.
桂林街,GUILIN ST.
桂林路,GUILIN RD.
桂花巷,GUIHUA LN.
桂花樹,GUIHUASHU
桂華街,GUIHUA ST.
桂陽路,GUIYANG RD.
桂園路,GUIYUAN RD.
桂義街,GUIYI ST.
桂聖街,GUISHENG ST.
桂誠街,GUICHENG ST.
桂德街,GUIDE ST.
桂興街,GUIXING ST.
栗子崙,LIZILUN
栗園,LIYUAN
桑原巷,SANGYUAN LN.
柴口,CHAIKOU
柴山,CHAISHAN
柴林腳,CHAILINJIAO
柴梳崙,CHAISHULUN
柴梳崙路,CHAISHULUN RD.
柴埕路,CHAICHENG RD.
柴圍路,CHAIWEI RD.
柴筍林,CHAISUNLIN
柴寮路,CHAILIAO RD.
柴橋坑,CHAIQIAOKENG
柴橋巷,CHAIQIAO LN.
柴橋路,CHAIQIAO RD.
柴頭仔,CHAITOUZAI
桐竹路,TONGZHU RD.
桐寮,TONGLIAO
格致街,GEZHI ST.
格致路,GEZHI RD.
桃一街,TAO 1ST ST.
桃二街,TAO 2ND ST.
桃三街,TAO 3RD ST.
桃大一街,TAODA 1ST ST.
桃大路,TAODA RD.
桃大路一段,"SEC. 1, TAODA RD."
桃大路二段,"SEC. 2, TAODA RD."
桃子園路,TAOZIYUAN RD.
桃子腳路,TAOZIJIAO RD.
桃山,TAOSHAN
桃仔坑,TAOZAIKENG
桃仔斜,TAOZAIXIE
桃仔窩,TAOZAIWO
桃仔寮,TAOZAILIAO
桃仔寮尾,TAOZAILIAOWEI
桃米巷,TAOMI LN.
桃米路,TAOMI RD.
桃李一路,TAOLI 1ST RD.
桃李二路,TAOLI 2ND RD.
桃和街,TAOHE ST.
桃坪,TAOPING
桃南路,TAONAN RD.
桃拾街,TAO 10TH ST.
桃科一路,TAOKE 1ST RD.
桃科二路,TAOKE 2ND RD.
桃科三路,TAOKE 3RD RD.
桃科五路,TAOKE 5TH RD.
桃科六路,TAOKE 6TH RD.
桃科七路,TAOKE 7TH RD.
桃科八路,TAOKE 8TH RD.
桃科九路,TAOKE 9TH RD.
桃科十路,TAOKE 10TH RD.
桃科十一路,TAOKE 11TH RD.
桃科十二路,TAOKE 12TH RD.
桃智路,TAOZHI RD.
桃園巷,TAOYUAN LN.
桃園街,TAOYUAN ST.
桃園路,TAOYUAN RD.
桃新街,TAOXIN ST.
桃源,TAOYUAN
桃源一街,TAOYUAN 1ST ST.
桃源二街,TAOYUAN 2ND ST.
桃源街,TAOYUAN ST.
桃德路,TAODE RD.
桃鶯路,TAOYING RD.
桃鶯路宏福巷,"HONGFU LN., TAOYING RD."
桃鶯路南僑巷,"NANQIAO LN., TAOYING RD."
桃鶯路鶯鳴一巷,"YINGMING 1ST LN., TAOYING RD."
泰山,TAISHAN
泰山一巷,TAISHAN 1ST LN.
泰山一街,TAISHAN 1ST ST.
泰山二巷,TAISHAN 2ND LN.
泰山二街,TAISHAN 2ND ST.
泰山三巷,TAISHAN 3RD LN.
泰山三街,TAISHAN 3RD ST.
泰山七巷,TAISHAN 7TH LN.
泰山九巷,TAISHAN 9TH LN.
泰山村中正路,"ZHONGZHENG RD., TAISHAN VIL."
泰山街,TAISHAN ST.
泰山路,TAISHAN RD.
泰山路七結巷,"QIJIE LN., TAISHAN RD."
泰山路民族一巷,"MINZU 1ST LN., TAISHAN RD."
泰山路民族二巷,"MINZU 2ND LN., TAISHAN RD."
泰山路負郭二巷,"FUGUO 2ND LN., TAISHAN RD."
泰山路復國巷,"FUGUO LN., TAISHAN RD."
泰中路,TAIZHONG RD.
泰元街,TAIYUAN ST.
泰王路,TAIWANG RD.
泰北路,TAIBEI RD.
泰平,TAIPING
泰平巷,TAIPING LN.
泰平路,TAIPING RD.
泰田,TAITIAN
泰立巷,TAILI LN.
泰仰路,TAIYANG RD.
泰圳路,TAIZUN RD.
泰安,TAI'AN
泰安一街,TAI'AN 1ST ST.
泰安二街,TAI'AN 2ND ST.
泰安街,TAI'AN ST.
泰安路,TAI'AN RD.
泰成街,TAICHENG ST.
泰成路,TAICHENG RD.
泰宏新村,TAIHONG NEW VIL.
泰良街,TAILIANG ST.
泰來,TAILAI
泰和,TAIHE
泰和一街,TAIHE 1ST ST.
泰和中街,TAIHE CENTRAL ST.
泰和東街,TAIHE E. ST.
泰和街,TAIHE ST.
泰和路,TAIHE RD.
泰和路一段,"SEC. 1, TAIHE RD."
泰和路二段,"SEC. 2, TAIHE RD."
